# x_nm	y_nm	p
# Raw mesh domain: 184.29 x 161.85 nm
# Grid: 200 x 200
-92.1438	-69.708	0.0
-91.2177	-69.708	0.0
-90.2917	-69.708	0.0
-89.3656	-69.708	0.0
-88.4395	-69.708	0.0
-87.5134	-69.708	0.0
-86.5874	-69.708	0.0
-85.6613	-69.708	0.0
-84.7352	-69.708	0.0
-83.8092	-69.708	0.0
-82.8831	-69.708	0.0
-81.957	-69.708	0.0
-81.031	-69.708	0.0
-80.1049	-69.708	0.0
-79.1788	-69.708	0.0
-78.2528	-69.708	0.0
-77.3267	-69.708	0.0
-76.4006	-69.708	0.0
-75.4746	-69.708	0.0
-74.5485	-69.708	0.0
-73.6224	-69.708	0.0
-72.6964	-69.708	0.0
-71.7703	-69.708	0.0
-70.8442	-69.708	0.0
-69.9182	-69.708	0.0
-68.9921	-69.708	0.0
-68.066	-69.708	0.0
-67.1399	-69.708	0.0
-66.2139	-69.708	0.0
-65.2878	-69.708	0.0
-64.3617	-69.708	0.0
-63.4357	-69.708	0.0
-62.5096	-69.708	0.0
-61.5835	-69.708	0.0
-60.6575	-69.708	0.0
-59.7314	-69.708	0.0
-58.8053	-69.708	0.0
-57.8793	-69.708	0.0
-56.9532	-69.708	0.0
-56.0271	-69.708	0.0
-55.1011	-69.708	0.0
-54.175	-69.708	0.0
-53.2489	-69.708	0.0
-52.3229	-69.708	0.0
-51.3968	-69.708	0.0
-50.4707	-69.708	0.0
-49.5446	-69.708	0.0
-48.6186	-69.708	0.0
-47.6925	-69.708	0.0
-46.7664	-69.708	0.0
-45.8404	-69.708	0.0
-44.9143	-69.708	0.0
-43.9882	-69.708	0.0
-43.0622	-69.708	0.0
-42.1361	-69.708	0.0
-41.21	-69.708	0.0
-40.284	-69.708	0.0
-39.3579	-69.708	0.0
-38.4318	-69.708	0.0
-37.5058	-69.708	0.0
-36.5797	-69.708	0.0
-35.6536	-69.708	0.0
-34.7276	-69.708	0.0
-33.8015	-69.708	0.0
-32.8754	-69.708	0.0
-31.9494	-69.708	0.0
-31.0233	-69.708	0.0
-30.0972	-69.708	0.0
-29.1711	-69.708	0.0
-28.2451	-69.708	0.0
-27.319	-69.708	0.0
-26.3929	-69.708	0.0
-25.4669	-69.708	0.0
-24.5408	-69.708	0.0
-23.6147	-69.708	0.0
-22.6887	-69.708	0.0
-21.7626	-69.708	0.0
-20.8365	-69.708	0.0
-19.9105	-69.708	0.0
-18.9844	-69.708	0.0
-18.0583	-69.708	0.0
-17.1323	-69.708	0.0
-16.2062	-69.708	0.0
-15.2801	-69.708	0.0
-14.3541	-69.708	0.0
-13.428	-69.708	0.0
-12.5019	-69.708	0.0
-11.5759	-69.708	0.0
-10.6498	-69.708	0.0
-9.7237	-69.708	0.0
-8.7976	-69.708	0.0
-7.8716	-69.708	0.0
-6.9455	-69.708	0.0
-6.0194	-69.708	0.0
-5.0934	-69.708	0.0
-4.1673	-69.708	0.0
-3.2412	-69.708	0.0
-2.3152	-69.708	0.0
-1.3891	-69.708	0.0
-0.463	-69.708	0.0
0.463	-69.708	0.0
1.3891	-69.708	0.0
2.3152	-69.708	0.0
3.2412	-69.708	0.0
4.1673	-69.708	0.0
5.0934	-69.708	0.0
6.0194	-69.708	0.0
6.9455	-69.708	0.0
7.8716	-69.708	0.0
8.7976	-69.708	0.0
9.7237	-69.708	0.0
10.6498	-69.708	0.0
11.5759	-69.708	0.0
12.5019	-69.708	0.0
13.428	-69.708	0.0
14.3541	-69.708	0.0
15.2801	-69.708	0.0
16.2062	-69.708	0.0
17.1323	-69.708	0.0
18.0583	-69.708	0.0
18.9844	-69.708	0.0
19.9105	-69.708	0.0
20.8365	-69.708	0.0
21.7626	-69.708	0.0
22.6887	-69.708	0.0
23.6147	-69.708	0.0
24.5408	-69.708	0.0
25.4669	-69.708	0.0
26.3929	-69.708	0.0
27.319	-69.708	0.0
28.2451	-69.708	0.0
29.1711	-69.708	0.0
